Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22u","C_0805_2012Metric",161.439600,-36.830000,90.000000,bottom
"C2","0.1u","C_0402_1005Metric",158.546800,-36.728400,90.000000,bottom
"J4","SD_Card_Device","SD_Hirose_DM1AA_SF_PEJ82",181.550000,-69.000000,-90.000000,bottom
"R9","100k","R_0805_2012Metric",153.153500,-54.967500,-90.000000,bottom
"R14","47k","R_0805_2012Metric",153.000000,-45.000000,-90.000000,bottom
"C3","4.7u","C_0805_2012Metric",161.198000,-81.345000,180.000000,top
"C4","4.7u","C_0805_2012Metric",161.132000,-79.059000,180.000000,top
"C5","10u","C_0805_2012Metric",151.254500,-78.994000,0.000000,top
"C6","4.7u","C_0805_2012Metric",160.479200,-74.699400,90.000000,top
"C7","4.7u","C_0805_2012Metric",157.429200,-77.368400,0.000000,top
"C8","0.1u","C_0402_1005Metric",178.816000,-81.026000,180.000000,top
"C9","0.1u","C_0402_1005Metric",187.170000,-81.026000,180.000000,top
"D1","PESD5V0L1ULD","D_SOD-882D",161.266000,-84.370000,180.000000,top
"D2","LED","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder",190.028500,-86.360000,180.000000,top
"D3","LED","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder",190.028500,-90.170000,180.000000,top
"D4","LED","LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder",190.028500,-93.980000,180.000000,top
"D5","Green LED","LED_0402_1005Metric",141.000000,-75.500000,90.000000,top
"D6","Green LED","LED_0402_1005Metric",160.020000,-89.544500,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",167.132000,-90.847000,0.000000,top
"J2","Barrel_Jack_Switch_Pin3Ring","BarrelJack_Horizontal",146.616500,-81.122000,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",150.172500,-54.967500,180.000000,top
"J5","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",145.585000,-38.603000,-90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",150.426500,-65.532000,180.000000,top
"R1","0","R_0805_2012Metric",164.180000,-80.075000,90.000000,top
"R2","5.1k","R_0402_1005Metric",168.498000,-83.123000,-90.000000,top
"R3","5.1k","R_0402_1005Metric",164.688000,-83.123000,90.000000,top
"R4","10k","R_0402_1005Metric",180.340000,-76.960000,-90.000000,top
"R5","5.1k","R_0402_1005Metric",180.340000,-78.992000,-90.000000,top
"R6","10k","R_0402_1005Metric",188.724000,-76.766000,-90.000000,top
"R7","5.1k","R_0402_1005Metric",188.724000,-78.776000,-90.000000,top
"R8","10k","R_0402_1005Metric",162.056000,-55.626000,0.000000,top
"R10","2k","R_0402_1005Metric",185.672000,-86.360000,0.000000,top
"R11","10k","R_0402_1005Metric",191.770000,-45.214000,-90.000000,top
"R12","2k","R_0402_1005Metric",184.046400,-90.170000,0.000000,top
"R13","2k","R_0402_1005Metric",182.408500,-93.980000,0.000000,top
"R15","2k","R_0402_1005Metric",141.000000,-71.000000,-90.000000,top
"R16","2k","R_0402_1005Metric",157.960200,-86.664800,0.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",178.054000,-77.978000,-90.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P",186.436000,-77.978000,-90.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_CK_PTS125Sx43SMTR",167.424000,-66.000000,0.000000,top
"U1","USBLC6-2P6","SOT-666",166.720000,-80.075000,90.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",167.238000,-41.352000,0.000000,top
"U3","AMS1117-5.0","SOT-223-3_TabPin2",145.802500,-73.508000,90.000000,top
"U5","DHT11","Aosong_DHT11_5.5x12.0_P2.54mm",186.286000,-46.580000,180.000000,top
"U6","AP2112K-3.3","SOT-23-5",157.296700,-74.508400,180.000000,top
